CodigoFabricante;Descricao;Fabricante (Marca);Tensão;Corrente;Data Entrada; UN Auditada ;Unidade;
2-21-00055;CABO PP 2X1MM FLEXIVEL;;;;;;;
2-21-00050;CABO PP 4X1,5MM FLEXIVEL;;;;;;;
2-21-00051;CABO PP 4X2,5MM FLEXIVEL;;;;;;;
2-21-00085;CABO PP FLEXIVEL 3X6MM;;;;;;;
2-21-00163;CABO PP FLEXIVEL 4x16MM;;;;;;;
2-21-00527;CAIXA METÁLICA 1000X600X350;;;;;;;
2-08-00148;CAIXA METÁLICA 500X400X200;;;;;;;
2-21-00031;CAIXA METÁLICA 600X400X250;;;;11/08/2023; 23 ;UN;
2-08-00075;CAIXA METÁLICA 600X500X250;;;;11/08/2023; 3 ;UN;
2-21-00304;CAIXA PVC SOBREPOR 720X360X220 TAMPA CINZA cód.3295D;;;;11/08/2023; 2 ;UN;
;CAIXA PVC SOBREPOR 720X360X220 TAMPA TRANSPARENTE cód.3859D;;;;11/08/2023; 7 ;UN;
2-21-00070;CANALETA PVC RECORTE ABERTO 30X30X2000MM;;;;;;;
2-08-00087;CANALETA PVC RECORTE ABERTO 30X50X2000MM;;;;;;;
2-08-00351;CANALETA PVC RECORTE ABERTO 50X50X2000MM;;;;;;;
2-21-00071;CANALETA PVC RECORTE ABERTO 50X80X2000MM;;;;;;;
2-08-00021;CHAVE DE SEGURANÇA COM RETENÇÃO ELÉTRICA 2NA 2NF XCSLE2727512;;;;;;;
2-08-00049;CHAVE LIGA/DESLIGA ALAVANCA DE EMBUTIR;;;;;;;
2-08-00022;CHAVE RETA PARA CHAVE DE SEGURANÇA XCSZ01;;;;;;;
2-08-00038;CHAVE SECCIONADORA FIXAÇÃO TOPO 25A 3 POLOS;;;;;;;
2-08-00146;CHAVE SECCIONADORA FIXAÇÃO TOPO 63A 3 POLOS;;;;;;;
2-08-00231;"CONECTOR REUSAVEL ALUMINIO 1/2""";;;;;;;
2-21-00097;"CONECTOR REUSAVEL ALUMINIO 3/4""";;;;;;;
2-21-00038;CONECTOR TRIFÁSICO FTBBS;;;;;;;
2-12-00027;"CONEXÃO ""T"" MACHO CENTRAL 6X1/4""";;;;;;;
2-12-00012;"CONEXÃO RETA FÊMEA PARA PAINEL 6X1/4""";;;;;;;
2-12-00013;"CONEXÃO RETA MACHO 6X1/4""";;;;;;;
2-21-00480;CONTATOR DE POTENCIA TRIPOLAR CWB38- 24VCA;;;;;;;
2-08-00118;CONTROLADOR DE TEMPERATURA 48X48 MC8438-201-000 J;;;;17/08/2023; 2 ;UN;
2-21-00444;CONTROLE PARADA DE EMERGENCIA CPW22 MESMO 2-08-00045 RELÉ DE SEGURANÇA;;;;;;;
2-07-00212;COOLER 120X120X38MM BIVOLT 115V/230V 50/60HZ;;;;;;;
2-12-00004;"COTOVELO MACHO GIRATÓRIO 6X1/4""";;;;;;;
2-08-00108;DISJUNTOR MOTOR MPW18 2,5 - 4A;;;;17/08/2023; 4 ;UN;
2-08-00070;DISJUNTOR MOTOR MPW18 6,3 - 10A;;;;17/08/2023; 17 ;UN;
2-21-00563;DISSIPADOR PARA RELES DE ESTADO SOLIDO TST/TSR/TZC 60/80A;;;;;;;
2-07-00060;"FILTRO REGULADOR BSP 1/4"" 0 A 10 BAR C/ MANÔMETRO";;;;;;;
7-12-00021;FITA DUPLA FACE 3M VHB;;;;;;;
8-04-00002;FITA ISOLANTE 18MMX20M;;;;;;;
2-08-00527;GRELHA COM FILTRO 120MMX120MM;;;;;;;
2-08-00031;INTERFACE HOMEM MÁQUINA REMOTA SERIAL CFW500;;;;;;;
2-08-00035;INVERSOR DE FREQUÊNCIA MONOFÁSICO OU TRIFÁSICO 200-240V 1CV CFW500A04P3B2NB20;;;;;;;
2-07-00074;MANGUEIRA PNEUMÁTICA AZUL 6X4MM;;;;;;;
2-21-00049;MINI CONTATOR CWC016-24VCA;;;;;;;
2-21-00262;MINI CONTATOR CWCA031-24VCA;;;;;;;
2-08-00025;MINI DISJUNTOR BIPOLAR 10A;;;;11/08/2023; 9 ;UN;
2-08-00129;MINI DISJUNTOR TRIPOLAR 32A;;;;11/08/2023; 22 ;UN;
2-21-00260;MINI DISJUNTOR TRIPOLAR 40A;;;;11/08/2023; 4 ;UN;
2-01-00066;"PARAFUSO CABEÇA SEXTAVADA 1/4""X1"" 1/2"" DIN 933 8.8 ZINCADO";;;;;;;
2-01-00064;"PARAFUSO CABEÇA SEXTAVADA 1/4""X1"" DIN 933 8.8 ZINCADO";;;;;;;
2-07-00163;PLACA DE IDENTIFICAÇÃO EM ACRÍLICO 50X20X2MM 220V;;;;;;;
2-07-00164;PLACA DE IDENTIFICAÇÃO EM ACRÍLICO 50X20X2MM 440V;;;;;;;
2-07-00156;PLACA DE IDENTIFICAÇÃO EM ACRÍLICO 50X20X2MM CHAVE GERAL;;;;;;;
2-07-00153;PLACA DE IDENTIFICAÇÃO EM ACRÍLICO 50X20X2MM DESLIGA;;;;;;;
2-07-00154;PLACA DE IDENTIFICAÇÃO EM ACRÍLICO 50X20X2MM EMERGÊNCIA;;;;;;;
2-07-00157;PLACA DE IDENTIFICAÇÃO EM ACRÍLICO 50X20X2MM EQUIPAMENTO EM FUNCIONAMENTO;;;;;;;
2-07-00159;PLACA DE IDENTIFICAÇÃO EM ACRÍLICO 50X20X2MM HORIMETRO;;;;;;;
2-07-00152;PLACA DE IDENTIFICAÇÃO EM ACRÍLICO 50X20X2MM LIGA;;;;;;;
2-07-00155;PLACA DE IDENTIFICAÇÃO EM ACRÍLICO 50X20X2MM PAINEL ENERGIZADO;;;;;;;
2-07-00161;PLACA DE IDENTIFICAÇÃO EM ACRÍLICO 50X20X2MM RESET/INÍCIO;;;;;;;
2-07-00158;PLACA DE IDENTIFICAÇÃO EM ACRÍLICO 50X20X2MM SISTEMA DE SEGURANÇA;;;;;;;
2-07-00162;PLACA DE IDENTIFICAÇÃO EM ACRÍLICO 50X20X2MM TEMPORIZADOR;;;;;;;
2-08-00066;PLUG INDUSTRIAL 16A 3P+T 200-240V AZUL IP44;;;;;;;
2-08-00072;PLUG INDUSTRIAL 32A 3P+T 200-240V AZUL IP44;;;;;;;
2-08-00096;PLUG INDUSTRIAL 32A 3P+T 380-440V VERMELHO IP44;;;;;;;
2-01-00019;"PORCA SEXTAVADA 1/4"" ZINCADA";;;;;;;
2-08-00101;POSTE FINAL PARA TRILHO DIN;;;;;;;
2-08-00094;"PRENSA CABO 1/2""";;;;;;;
2-08-00095;PRENSA CABO PG-09;;;;;;;
2-08-00152;PRENSA CABO PVC PG-16;;;;;;;
2-08-00166;PRENSA CABO PVC PG-M20;;;;;;;
2-07-00997;PRESSOSTATO 10 BAR;;;;;;;
2-21-00083;REGULADOR DE FLUXO 1/4X6MM;;;;;;;
2-21-00562;RELÉ DE ESTADO SÓLIDO TRIFASICO 40A;;;;;;;
